"Name","Version","License","URL"
"Click","7.0","BSD","https://palletsprojects.com/p/click/"
"Flask","1.0.2","BSD","https://www.palletsprojects.com/p/flask/"
"GoogleAppEngineCloudStorageClient","1.9.22.1","Apache License 2.0","https://code.google.com/p/appengine-gcs-client/"
"Jinja2","2.10.3","BSD-3-Clause","https://palletsprojects.com/p/jinja/"
"MarkupSafe","1.1.1","BSD-3-Clause","https://palletsprojects.com/p/markupsafe/"
"Werkzeug","0.14.1","BSD","https://www.palletsprojects.org/p/werkzeug/"
"cachetools","3.1.1","MIT","https://github.com/tkem/cachetools"
"google-api-python-client","1.7.7","Apache 2.0","http://github.com/google/google-api-python-client/"
"google-auth","1.8.2","Apache 2.0","https://github.com/GoogleCloudPlatform/google-auth-library-python"
"google-auth-httplib2","0.0.3","Apache 2.0","https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2"
"httplib2","0.14.0","MIT","https://github.com/httplib2/httplib2"
"itsdangerous","1.1.0","BSD","https://palletsprojects.com/p/itsdangerous/"
"pyasn1","0.4.8","BSD","https://github.com/etingof/pyasn1"
"pyasn1-modules","0.2.7","BSD-2-Clause","https://github.com/etingof/pyasn1-modules"
"rsa","4.0","ASL 2","https://stuvel.eu/rsa"
"six","1.13.0","MIT","https://github.com/benjaminp/six"
"uritemplate","3.0.0","BSD 3-Clause License or Apache License, Version 2.0","https://uritemplate.readthedocs.org"
